|novel|brut_sum|brut_type|Total Words|Percentage
0|A Way Out|93|30|12914|0.7201486758556606
1|Afrika im Herzen_0|259|43|48716|0.5316528450611708
2|Afrika im Herzen_1|290|41|48897|0.5930834202507311
3|Afrika im Herzen_2|270|36|48887|0.5522940659070918
4|Afrika im Herzen_3|100|27|17979|0.5562044607597753
5|Afterlife|132|21|13869|0.9517629245078953
6|Ai e no pasu|102|26|13260|0.7692307692307693
7|Alvaro   Der Preis der Freiheit|124|31|18450|0.6720867208672087
8|Auf der Suche|99|25|12974|0.7630645907199013
9|Außer Kontrolle_0|234|36|48784|0.4796654640865858
10|Außer Kontrolle_1|248|36|48633|0.5099418090596919
11|Außer Kontrolle_2|40|25|10482|0.38160656363289447
12|Bedrohliche Zeiten|189|37|16819|1.1237291158808491
13|Blue Jay Storys   Wohin der Wind dich trägt  Mitmachgeschichte _0|236|49|47810|0.49362058146831206
14|Blue Jay Storys   Wohin der Wind dich trägt  Mitmachgeschichte _1|282|46|47945|0.5881739493169257
15|Blue Jay Storys   Wohin der Wind dich trägt  Mitmachgeschichte _2|96|30|13261|0.7239273056330594
16|Chroniken der Stämme Spotlight  Licht und Schatten  Teil 1 |115|35|11248|1.0224039829302987
17|Dark Revolution|112|31|16102|0.6955657682275493
18|Das Abenteuer beginnt |92|26|12983|0.7086189632596472
19|Das Auge des Horus|49|23|10459|0.46849603212544216
20|Das geheimnisvolle Kriegervolk|55|19|10809|0.5088352299010084
21|Der Jäger und das Geheimnis von Korinth|104|22|28351|0.36683009417657225
22|Der Stein des blauen Mondes|164|37|27769|0.5905866253736181
23|Der Waldläufer Nousagi_0|382|46|51564|0.7408269335195098
24|Der Waldläufer Nousagi_1|324|43|37168|0.871717606543263
25|Die Chroniken der Verborgenen Lande   Martin von Wengland   Das Turnier|151|29|22835|0.6612656010510182
26|Die Chroniken der Verborgenen Lande   Martin von Wengland   Einer spielt falsch|113|29|19532|0.5785377841490887
27|Die Chroniken der Verborgenen Lande   Martin von Wengland   Wirren des Krieges_0|404|45|47905|0.843335768708903
28|Die Chroniken der Verborgenen Lande   Martin von Wengland   Wirren des Krieges_1|113|22|12314|0.9176547019652428
29|Die Dimension der Piraten|227|38|41371|0.5486935292837978
30|Die Erbin Des Diamantdrachens|145|34|29532|0.49099282134633615
31|Die Geflügelte Schlange   Erkenntnis|66|25|9886|0.6676107626947198
32|Die Gesandten|89|26|14261|0.6240796578080079
33|Die Legende von Canaan|198|26|30156|0.6565857540787903
34|Die Reise|69|17|11441|0.6030941351280483
35|Die Reisende|39|11|12543|0.31093039942597467
36|Die Reisenden   Chroniken von Eris|210|44|30159|0.6963095593355217
37|Die Spuren der Wölfe|48|14|5444|0.881704628949302
38|Die Welt der Former_0|418|52|50078|0.8346978713207396
39|Die Welt der Former_1|433|51|50079|0.8646338784720143
40|Die Welt der Former_2|406|43|49939|0.8129918500570696
41|Die Welt der Former_3|226|36|27512|0.8214597266647281
42|Die vier Schlüssel|129|31|27176|0.4746835443037975
43|Disteln und Dornen|125|29|11426|1.093996149133555
44|Drachenblut|368|37|42775|0.8603156049094097
45|Dreamdancer|96|29|16060|0.5977584059775841
46|Dying Heartbeat|81|23|13970|0.5798138869005011
47|Eine dunkle Vergangenheit|93|28|10262|0.9062560904307152
48|Eine kleine Reise   |82|20|23271|0.35236990245369776
49|Eine kultivierte Rache   oder wie Tilda in einen Strudel krimineller Umtriebe geriet_0|322|44|49049|0.656486370772085
50|Eine kultivierte Rache   oder wie Tilda in einen Strudel krimineller Umtriebe geriet_1|314|45|48739|0.6442479328669033
51|Eine kultivierte Rache   oder wie Tilda in einen Strudel krimineller Umtriebe geriet_2|26|14|4873|0.533552226554484
52|Eternal Dreams|70|21|11763|0.5950862875116891
53|Ewige Gerechtigkeit|138|32|15291|0.9024916617618207
54|Feuerglut|217|33|32761|0.662372943438845
55|Flug in den Dschungel|67|20|13070|0.5126243305279266
56|Frei _0|252|33|49963|0.5043732361947841
57|Frei _1|10|4|2180|0.45871559633027525
58|Fullmoon Night|122|27|24620|0.49553208773354995
59|G A  Auf der Jagd nach dem Doppelgänger|54|19|17528|0.3080785029666819
60|Game and Life|55|20|13796|0.39866628008118293
61|Gefunden|130|22|18582|0.699601765149069
62|Ijslands Lichter|58|22|9522|0.609115731989078
63|In einer fremden Welt|194|28|20164|0.9621106923229518
64|Ist ein normales Leben zu viel verlangt |223|32|33078|0.6741640969828889
65|Jasper Svatsman   Piratengeschichten|210|42|25352|0.828337014831177
66|Katsumoto|107|27|15439|0.6930500680095861
67|KlingenTakt|389|47|40888|0.9513793778125612
68|Kommata_0|176|35|48352|0.3639973527465255
69|Kommata_1|4|3|870|0.45977011494252873
70|Krone der Macht  Arbeitstitel |330|38|37535|0.879179432529639
71|Kusuri  der Dämonenarzt  Leseprobe |307|36|38678|0.7937328713997622
72|Leben  kämpfen  sterben|112|30|17342|0.6458309306885018
73|Lilith   Rose   Worlds Beyond_0|253|47|50594|0.5000592955686445
74|Lilith   Rose   Worlds Beyond_1|10|7|1919|0.5211047420531527
75|Lost in Death|120|28|16528|0.7260406582768635
76|Maria Miller 3   Macht und Schicksal_0|564|49|51798|1.0888451291555659
77|Maria Miller 3   Macht und Schicksal_1|111|22|9794|1.1333469471104758
78|Mein Jahr mit dir|149|31|30604|0.48686446216180895
79|Mein neues Leben|261|41|27341|0.9546102922351049
80|Mia und Kai   das Verweilen im Nichts   Band II  _0|273|44|48315|0.5650419124495498
81|Mia und Kai   das Verweilen im Nichts   Band II  _1|0|0|11|0.0
82|Miles away|81|28|15665|0.5170762847111394
83|MindScan   Beginn einer Rebellion|54|21|20755|0.26017827029631413
84|Moenia|145|28|28682|0.5055435464751412
85|Natalie|112|21|9909|1.130285598950449
86|Nicht gesucht und doch gefunden|139|25|21790|0.6379072969251951
87|Nüstern  die das Herz berühren|44|17|9985|0.44066099148723087
88|Of traitors and kings Das erste Abenteuer|216|36|34705|0.6223887047975796
89|Pact of life|215|32|19573|1.098451949113575
90|Pass auf |122|32|12403|0.9836329920180601
91|Prinzessin Elisabeth Sophia van Oranie Nassau|61|18|13865|0.43995672556797694
92|Qismat Ek Pyaar   Schicksal einer Liebe|46|12|15672|0.293517100561511
93|Royals|83|29|14572|0.5695855064507274
94|SOLUM_0|180|39|49067|0.36684533393115537
95|SOLUM_1|213|45|48862|0.4359215750480946
96|SOLUM_2|2|2|573|0.34904013961605584
97|Santuan   Der Fehler der Meisterwandler|39|16|13364|0.2918287937743191
98|Schwert und Flamme|141|32|16066|0.8776297771691772
99|Searching for the past|58|21|16685|0.347617620617321
100|Sehnsucht nach Frieden|128|34|22212|0.5762650819376913
101|Siebenstein|179|33|41347|0.43292137277190607
102|Snails Express|89|27|14149|0.6290197187080359
103|Stranded|170|31|18363|0.9257746555573707
104|Suenos  2009    Die Macht der Katzenaugen  Alte Verfassung |82|34|12388|0.6619309008718114
105|Suenos  2016    Im Land der Tackel|122|30|21449|0.5687910858315073
106|Tanz der Spione|168|35|20768|0.8089368258859784
107|Tanz der Spione 2 |196|36|22382|0.8757036904655526
108|Tanz der Spione 3|298|37|34305|0.8686780352718262
109|The Last Shinobi_0|500|43|49227|1.0157027647429258
110|The Last Shinobi_1|148|28|17778|0.8324895938800765
111|Tochter des Gefangenen   Hexen Trilogie 1 _0|352|46|48946|0.7191598904915621
112|Tochter des Gefangenen   Hexen Trilogie 1 _1|40|15|6353|0.6296237997796317
113|Tracy Marric|114|27|17432|0.6539697108765489
114|Trampen nach L A |64|19|9436|0.6782534972445952
115|Traumpfad|87|25|16701|0.5209268906053529
116|Triton Neptun Scott und der Apfel des Glücks|91|24|27134|0.33537259526792956
117|Turn back the clock  Staffel 1 |59|23|12202|0.48352729060809707
118|Wanted   Das Spiel beginnt|123|31|18636|0.6600128783000644
119|Warm  kalt und alles dazwischen |56|19|13648|0.4103165298944901
120|Wave Crown|198|34|16576|1.1944980694980696
121|Wecke nicht die Toten  Band 1|277|35|45846|0.6041966583780483
122|Wecke nicht die Toten  Band 2|76|22|15540|0.4890604890604891
123|Wir und unsere Leichen|166|35|16453|1.0089345408132255
124|Wohin der Wind auch weht   Meharos Zauber|135|32|27043|0.49920496986281104
125|Wunder geschehen|43|18|10815|0.3975959315765141
126|Yuus unglaubliche Abenteuer_0|342|49|49839|0.6862095948955638
127|Yuus unglaubliche Abenteuer_1|286|44|49863|0.5735715861460402
128|Yuus unglaubliche Abenteuer_2|259|43|43532|0.5949646237250759
129|Zeitsplitter in Bronze|134|29|27055|0.49528737756422103
130|Zwischen Himmel und Erde_0|328|39|50005|0.655934406559344
131|Zwischen Himmel und Erde_1|57|23|9839|0.5793271673950604
132|Zwischen allen Welten|124|32|15244|0.8134347940173182
0|Albtraum|144|23|19159|0.7516049898220157
1|Alina|85|19|12850|0.6614785992217899
2|Aller Anfang ist schwer|72|29|14258|0.5049796605414504
3|Angel  Arbeitstitel |88|23|11685|0.753102267864784
4|Anonym|41|15|11066|0.37050424724380987
5|Auf den Spuren der Vergangenheit|92|29|11243|0.8182869340923241
6|Authorities Task Force|142|32|20487|0.6931224679064772
7|Being Jack|105|25|14849|0.707118324466294
8|Broken Mirrors   |66|31|9813|0.6725771935188016
9|Bruderliebe|105|26|9845|1.0665312341289994
10|CRY_0|344|46|51446|0.6686622866695175
11|CRY_1|87|27|12936|0.6725417439703154
12|Cube|86|22|29106|0.29547172404315264
13|Das Attentat|245|36|29575|0.8284023668639053
14|Das Böse hat ein Herz|64|22|12559|0.509594712954853
15|Das mörderische Krimidinner|268|34|30035|0.89229232562011
16|Death Teacher|104|38|11433|0.9096475115892592
17|Der Anfang der Katastrophen oder London calling|97|29|20212|0.47991292301603006
18|Der Diamantenprinz_0|274|48|49483|0.5537255218964089
