|novel|brut_sum|brut_type|Total Words|Percentage|field
0|3|126|29|12010|1.0491257285595337|hor_M
1|Als der Tod an unsere Tür klopfte|231|31|25620|0.9016393442622952|hor_M
2|Attacked|96|31|16944|0.56657223796034|hor_M
3|Besser  ihr rennt    Old Version|321|42|52678|0.6093625422377463|hor_M
4|Blut   |204|26|11403|1.7890028939752698|hor_M
5|Böse Überraschungen|95|28|21975|0.4323094425483504|hor_M
6|Dark Forces  Staffel 1|423|34|27732|1.5253137170056252|hor_M
7|Das Haus an der Peary Road|80|25|9944|0.8045052292839904|hor_M
8|Das Haus des Schreckens|208|30|25204|0.8252658308205046|hor_M
9|Das Haus im Wald|264|39|32702|0.8072900740015901|hor_M
10|Das Schicksal von Kempton Rock|110|28|12698|0.8662781540400063|hor_M
11|Der Horror dieser Welt|94|31|10276|0.9147528221097703|hor_M
12|Der Mörder an meiner Seite|111|30|19834|0.5596450539477665|hor_M
13|Der Vergessene|47|15|11401|0.4122445399526357|hor_M
14|Der Wald der Puppen  Band 1  Kannst du mich sehen |205|25|21854|0.9380433787864921|hor_M
15|Der Wald der Puppen  Band 2  Die Geister die du riefst   |58|18|10971|0.5286664843678789|hor_M
16|Die Jäger|99|27|16612|0.5959547315193835|hor_M
17|Die Kreatur|110|29|18754|0.5865415378052682|hor_M
18|Die Kreatur Teil 2|56|18|10440|0.5363984674329502|hor_M
19|Die Legende der Vogelscheuche|310|43|35449|0.8744957544641598|hor_M
20|Die Verschwörung von Kempton Rock|88|27|12995|0.6771835321277415|hor_M
21|Die Zombieapokalypse mit den Freaks|533|43|56637|0.9410809188339778|hor_M
22|Die letzte Nacht von Kempton Rock|110|36|12245|0.898325847284606|hor_M
23|Die strengsten Eltern der Welt|388|50|37439|1.0363524666791313|hor_M
24|Eine Stadt  ein Land und danach ist alles vorbei|99|25|13826|0.7160422392593664|hor_M
25|Epidemic_0|1137|73|98025|1.1599081866870695|hor_M
26|Epidemic_1|865|64|66073|1.3091580524571307|hor_M
27|Epidemic Band 2_0|1036|64|98345|1.0534343382988458|hor_M
28|Epidemic Band 2_1|1001|63|97219|1.0296341250167147|hor_M
29|Epidemic Band 2_2|1164|73|94009|1.2381793232562839|hor_M
30|Flucht nach Maggir|98|26|10056|0.9745425616547334|hor_M
31|Freaks come out at night|164|36|13743|1.193334788619661|hor_M
32|Gefangen  MMFF |337|39|36738|0.9173063313190701|hor_M
33|Geschichten aus der Anstalt|257|52|30636|0.838882360621491|hor_M
34|I can t remember  MMFF |414|46|32029|1.2925786006431672|hor_M
35|Inside|86|30|10192|0.8437990580847723|hor_M
36|Its hard to survive___Eine Zombie Apokalypse Mitmacht FanFiktion|393|49|33041|1.1894313126116038|hor_M
37|Justitia Games|114|38|16642|0.6850138204542724|hor_M
38|Klassentreffen|48|17|13121|0.3658257754744303|hor_M
39|Kuss der Nacht|28|10|2786|1.0050251256281406|hor_M
40|Let s play|175|35|18416|0.9502606429192006|hor_M
